Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,Other Services,GIFFGAFF.COM,01/04/2016,7646,10
Children's Family Services,Other Services,GIFFGAFF.COM,01/04/2016,7647,10
Children's Family Services,Travelling Expenses,MARTIN MCCOLL,01/06/2016,8213,25
Children's Family Services,Other Services,TSGN,24/06/2016,8508,22.2
Children's Family Services,Other Services,AMAZON EU,12/05/2016,8039,27.56
Children's Family Services,Other Services,AMAZON EU,12/05/2016,8040,3.96
Children's Family Services,Equipment and Materials Purcha,ACCESS EXPEDITIONS,11/07/2016,8696,1604.76
Children's Family Services,Travelling Expenses,ALFRISTON VILLAGE,25/07/2016,8889,14.25
Children's Family Services,Equipment and Materials Purcha,"BOOTS,EASTBOURNE",25/07/2016,8890,6.73
Children's Family Services,Equipment and Materials Purcha,MILLETS,25/07/2016,8891,25
Children's Family Services,Equipment and Materials Purcha,BLACKS,25/07/2016,8892,50
Children's Family Services,Travelling Expenses,TRINITY PLACE SERVICE,25/07/2016,8893,44
Children's Family Services,Equipment and Materials Purcha,WHSMITH.CO.UK,17/08/2016,9129,8.48
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,02/09/2016,9320,26.85
Children's Service DSG,Equipment and Materials Purcha,WWW.WIDGIT.COM,23/06/2016,8503,200
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,27/04/2016,7915,29.4
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,13/07/2016,8735,20.94
Children's Service DSG,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,14/07/2016,8750,41.59
Commissioning,Training,IT ONLINE LEARNING,09/08/2016,9056,560
Children's Family Services,Miscellaneous Expenses,AMAZON EU,20/05/2016,8126,7.89
Children's Family Services,Miscellaneous Expenses,AMAZON UK MARKETPLACE,20/05/2016,8127,1.93
Children's Family Services,Miscellaneous Expenses,AMAZON UK MARKETPLACE,20/05/2016,8128,2.97
Children's Family Services,Miscellaneous Expenses,WWW.YELLOWMOON.ORG.UK,20/05/2016,8129,43.84
Children's Family Services,Miscellaneous Expenses,AMAZON UK MARKETPLACE,23/05/2016,8136,28.05
Children's Family Services,Miscellaneous Expenses,AMAZON UK MARKETPLACE,23/05/2016,8137,21.99
Adults and Communities,Equipment and Materials Purcha,PMC ELECTRICS LIMI,09/05/2016,8005,20.99
Children's Family Services,Equipment and Materials Purcha,WWW.INSPIREMETOYS.CO.U,17/06/2016,8417,34.25
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/07/2016,8607,15.68
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,03/06/2016,8258,14.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,04/07/2016,8622,17.18
Children's Family Services,Equipment and Materials Purcha,TESCO STORE 2126,11/07/2016,8705,3.2
Children's Family Services,Food Costs,WAITROSE 191,27/07/2016,8928,7.09
Children's Family Services,Equipment and Materials Purcha,TESCO STORE 2296,01/08/2016,8976,6.45
Children's Family Services,Equipment and Materials Purcha,WILKO.COM,23/03/2016,7571,38.34
Children's Family Services,Equipment and Materials Purcha,TESCO STORE 2126,23/03/2016,7572,43.47
Children's Family Services,Equipment and Materials Purcha,TESCO STORE 2296,24/03/2016,7591,16.95
Children's Family Services,Equipment and Materials Purcha,WILKO.COM,24/03/2016,7592,-10
Children's Family Services,Equipment and Materials Purcha,WWW.EARLYYEARSRESOURCE,30/03/2016,7625,81.7
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS 0124,01/04/2016,7667,8
Children's Family Services,Miscellaneous Expenses,THE CALLOWLAND SURGERY,10/03/2016,7395,30
Children's Family Services,Equipment and Materials Purcha,HOMEBASE LTD 024,11/03/2016,7417,26.97
Children's Family Services,Equipment and Materials Purcha,B AND Q 1072,11/03/2016,7418,14
Children's Family Services,Equipment and Materials Purcha,SHARED EARTH YORK LTD,14/03/2016,7442,11.99
Children's Family Services,Food Costs,WAITROSE 191,25/04/2016,7873,3.98
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,16/03/2016,7478,8.35
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,16/03/2016,7479,19.78
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,16/03/2016,7480,7.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7481,10.95
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7482,16.66
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7483,12.28
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7484,10.96
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7485,17.25
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7486,14.12
Children's Family Services,Equipment and Materials Purcha,PAYPAL  SHIRLEY23SH,16/03/2016,7487,23.95
Children's Family Services,Travelling Expenses,EASTMIDLANDSTRAINS,03/08/2016,8996,66.5
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,22/03/2016,7552,70.68
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,02/05/2016,7959,114.33
Commissioning,Equipment and Materials Purcha,FACEBOOK G3N9E9AK52,01/04/2016,7658,60
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/04/2016,7659,114.33
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/05/2016,8106,34.74
Commissioning,Equipment and Materials Purcha,WWW.GETTYIMAGES.COM,19/05/2016,8116,58.25
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,24/05/2016,8164,70.07
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/04/2016,7791,3.62
Commissioning,Equipment and Materials Purcha,FACEBOOK TQU8X8NK52,26/05/2016,8186,535.41
Commissioning,Equipment and Materials Purcha,FACEBOOK VWJAU8NJ52,26/05/2016,8187,0.29
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,19/04/2016,7813,6.56
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,19/04/2016,7814,35.69
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,19/04/2016,7815,14.57
Commissioning,Equipment and Materials Purcha,WWW.GETTYIMAGES.COM,20/04/2016,7830,58.25
Commissioning,Equipment and Materials Purcha,FACEBOOK C46FY8NJ52,01/06/2016,8217,1.06
Commissioning,Equipment and Materials Purcha,FACEBOOK B46FY8NJ52,01/06/2016,8218,238.76
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/06/2016,8219,114.33
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,22/04/2016,7862,70.6
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/03/2016,7507,20.59
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/03/2016,7508,6.39
Commissioning,Equipment and Materials Purcha,WWW.GETTYIMAGES.COM,21/03/2016,7529,58.25
Commissioning,Equipment and Materials Purcha,KAGI SHOP.KAGI.COM,29/04/2016,7936,220
Commissioning,Equipment and Materials Purcha,WWW.GETTYIMAGES.COM,20/06/2016,8434,58.25
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,20/06/2016,8435,35.47
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,22/06/2016,8480,68.97
Commissioning,Equipment and Materials Purcha,EXTENSISUITCASE FUSIO,23/06/2016,8499,156.65
Commissioning,Equipment and Materials Purcha,ADOBE  CREATIVE CLOUD,01/07/2016,8606,114.33
Adults and Communities,Other Services,MARKS&SPENCER PLC SF,20/04/2016,7828,25
Adults and Communities,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,08/07/2016,8688,14.95
Adults and Communities,Stationery,AMAZON EU,02/06/2016,8233,48.52
Adults and Communities,Stationery,SP  PHOTOSYMBOLS LTD,30/06/2016,8586,144
Adults and Communities,Equipment and Materials Purcha,CREATESEND/COM,05/08/2016,9016,5
Adults and Communities,Stationery,CREATESEND/COM,02/09/2016,9322,5
Children's Service DSG,Equipment and Materials Purcha,WWW.POSTURITE.CO.UK,11/04/2016,7719,788.34
Corporate Accounting,Equipment and Materials Purcha,TESCO - SDY LTD,09/03/2016,7383,189.99
Corporate Accounting,Equipment and Materials Purcha,TESCO - ABACUS BABY,06/06/2016,8272,191.95
Corporate Accounting,Equipment and Materials Purcha,TESCO DIRECT,06/06/2016,8273,50
Corporate Accounting,Miscellaneous Expenses,ARGOS RETAIL GROUP,21/03/2016,7525,99.99
Parking & Infrastructure,Miscellaneous Expenses,NOCHEX. BPH POSTCODES,15/06/2016,8392,500
Children's Family Services,Other Services,ASDA HOME SHOPPING,24/03/2016,7575,42.8
Children's Family Services,Other Services,ASDA HOME SHOPPING,25/03/2016,7596,-42.8
Children's Family Services,Other Services,GIFFGAFF.COM,01/04/2016,7643,10
Children's Family Services,Other Services,ASDA HOME SHOPPING,10/03/2016,7396,44
Children's Family Services,Other Services,ASDA HOME SHOPPING,17/03/2016,7492,-2
Children's Family Services,Other Services,ASDA HOME SHOPPING,17/03/2016,7493,41.39
Streetscene,Training,WWW.CIPS.ORG,11/03/2016,7419,118.32
Commissioning,Training,WWW.ADVANTAGELEARNING.,16/06/2016,8403,1910.4
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,18/04/2016,7800,41.46
Children's Family Services,Food Costs,TESCO STORES 6440,04/05/2016,7980,187.03
Children's Family Services,Food Costs,TESCO DELIVERY SAVER2,05/05/2016,7983,6
Children's Family Services,Food Costs,TESCO STORES 6440,05/05/2016,7984,-3
Children's Family Services,Food Costs,TESCO STORES 6440,17/05/2016,8086,192.72
Children's Family Services,Food Costs,TESCO STORES 6440,24/05/2016,8163,206.32
Children's Family Services,Food Costs,TESCO STORES 6440,26/04/2016,7903,211.9
Children's Family Services,Subscriptions,WWW.FOUNDATION STAGE,02/05/2016,7947,66
Children's Family Services,Cleaning and domestic material,WWW.NISBETS.COM,17/06/2016,8413,39.39
Children's Family Services,Food Costs,TESCO STORES 6440,14/06/2016,8371,200.26
Children's Family Services,Food Costs,TESCO STORES 6440,28/06/2016,8549,210.55
Children's Family Services,Food Costs,TESCO STORES 6440,05/07/2016,8642,162.22
Children's Family Services,Food Costs,TESCO DELIVERY SAVER2,05/07/2016,8643,6
Children's Family Services,Food Costs,TESCO STORES 6440,12/07/2016,8721,160.09
Children's Family Services,Building Repairs & Maintenance,ALLSOP & FRANCIS,29/08/2016,9279,202.52
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,04/05/2016,7970,183.52
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,30/03/2016,7617,190.03
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,10/05/2016,8015,166.19
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,04/04/2016,7669,9.13
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,04/04/2016,7670,5.88
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,04/04/2016,7671,9.98
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,05/04/2016,7691,7.72
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,05/04/2016,7692,40.42
Children's Family Services,Cleaning and domestic material,AMAZON UK MARKETPLACE,17/05/2016,8078,5.5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,07/04/2016,7706,9.48
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,11/04/2016,7720,18.36
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,11/04/2016,7721,115.62
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,17/05/2016,8080,176.46
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,17/05/2016,8081,-0.58
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,12/04/2016,7735,-0.67
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,19/05/2016,8111,13.9
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,13/04/2016,7747,8.33
Children's Family Services,Consumable Catering Supplies,"AMAZON SVCS EUROPE,SAR",04/03/2016,7329,24.81
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,24/05/2016,8156,172.25
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,08/03/2016,7365,99.01
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,19/04/2016,7805,102.58
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,09/03/2016,7384,42.57
Children's Family Services,Food Costs,SAINSBURYS SACAT 0637,20/04/2016,7826,12.13
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,01/06/2016,8212,88.63
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/03/2016,7445,12.49
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/03/2016,7446,3.09
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/03/2016,7447,80.78
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/03/2016,7448,26.66
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,15/03/2016,7449,99.63
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,15/03/2016,7450,62.04
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7464,5.43
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7465,24.04
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7466,6.24
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7467,56.66
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",16/03/2016,7468,3.62
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,16/03/2016,7469,41.63
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,26/04/2016,7896,126.1
Children's Family Services,Building Repairs & Maintenance,HOMEBASE LTD 016,17/03/2016,7491,152.46
Children's Family Services,Food Costs,ASDA SUPERSTORE,29/04/2016,7930,1.87
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,22/03/2016,7539,118.08
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,07/06/2016,8290,17.47
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,13/06/2016,8342,1.39
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,13/06/2016,8343,1.4
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,14/06/2016,8363,26.42
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,21/06/2016,8442,23.21
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,28/06/2016,8537,26.77
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,30/06/2016,8580,39.32
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,05/07/2016,8630,182.62
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,12/07/2016,8713,119.25
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,20/07/2016,8804,70.96
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/07/2016,8851,54.94
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,26/07/2016,8907,71.61
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,26/07/2016,8909,9.82
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,26/07/2016,8911,54
Children's Family Services,Postage,POST OFFICE COUNTER,27/07/2016,8924,1.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,29/07/2016,8948,78.31
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,29/07/2016,8949,6.16
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,29/07/2016,8950,5.88
Children's Family Services,Equipment and Materials Purcha,AMAZON UK RETAIL AMAZO,01/08/2016,8960,11.97
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/08/2016,8982,11.12
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,02/08/2016,8985,17.4
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,02/08/2016,8986,17.4
Children's Family Services,Subscriptions,OFSTED INTERNET,03/08/2016,8992,183.33
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9223,4.37
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9224,4.32
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9225,6.7
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9226,5.93
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9227,5.74
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9228,6.65
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9229,18.08
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,24/08/2016,9239,9.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9240,3.45
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9241,7.21
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9242,12.85
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9243,13.3
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9244,8.5
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9245,48.58
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,25/08/2016,9261,6.27
Children's Family Services,Other Services,WILLOWS ACTIVITY FARM,11/08/2016,9072,127.33
Children's Family Services,Training,WWW.HIGHSPEEDTRAINING.,19/07/2016,8786,180
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,02/08/2016,8987,44.13
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,09/08/2016,9047,35.12
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,16/08/2016,9109,78.38
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,16/08/2016,9110,39.67
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,23/08/2016,9189,40.17
Children's Service DSG,Equipment and Materials Purcha,WWW.ANNARBOR.CO.UK,16/06/2016,8405,235
Children's Service DSG,Equipment and Materials Purcha,GL-ASSESMENT.CO.UK,16/06/2016,8406,271.86
Children's Family Services,Miscellaneous Expenses,LBBARNET PAYENET,08/06/2016,8318,30
Children's Family Services,Miscellaneous Expenses,HMCTS BEDS,21/06/2016,8441,120
Children's Family Services,Miscellaneous Expenses,HM PASSPORT,03/06/2016,8250,180
Children's Family Services,Miscellaneous Expenses,HM PASSPORT,01/07/2016,8603,180
Children's Family Services,Miscellaneous Expenses,LBBARNET PAYENET,03/08/2016,9000,15
Children's Family Services,Miscellaneous Expenses,HM PASSPORT,15/08/2016,9094,90
Children's Family Services,Miscellaneous Expenses,GRO HM PASSPORT OFFICE,15/08/2016,9104,23.4
Children's Family Services,Subscriptions,CREATESEND/COM,25/03/2016,7601,17
Children's Family Services,Miscellaneous Expenses,HUNTON PARK,31/03/2016,7640,450
Children's Family Services,Miscellaneous Expenses,HUNTON PARK,31/03/2016,7641,450
Children's Family Services,Subscriptions,CREATESEND/COM,24/05/2016,8161,17
Children's Family Services,Subscriptions,CREATESEND/COM,27/04/2016,7908,17
Children's Family Services,Miscellaneous Expenses,HI NORWICH RECEPTI,01/07/2016,8605,380
Children's Family Services,Equipment and Materials Purcha,HOMEBASE LTD 024,25/08/2016,9249,114
Children's Family Services,Subscriptions,CREATESEND/COM,24/06/2016,8513,17
Children's Family Services,Training,NCS CIMA VUE EXAM,17/08/2016,9124,59
Children's Family Services,Conference Expenses,WWW.PMGLTD.CO.UK,05/08/2016,9013,462
Children's Service DSG,Equipment and Materials Purcha,DAVID LLOYD,27/05/2016,8192,101.92
Customer Support Group,Fees and Charges,HMCOURTS-SERVICE.G,23/03/2016,7574,4671
Customer Support Group,Fees and Charges,HMCOURTS-SERVICE.G,31/03/2016,7642,171
Customer Support Group,Telephone Rentals,VODAFONE LTD,18/05/2016,8107,196.08
Customer Support Group,Stationery,OFFICE DEPOT,19/04/2016,7823,794.7
Customer Support Group,Equipment Hire,BRENTWOOD COMMUNICATIOCHELMSFORD,19/08/2016,9173,-174
Customer Support Group,Equipment Hire,PINKCASINOINTERNET,19/08/2016,9174,-100
Customer Support Group,Equipment Hire,BRENTWOOD COMMUNICATIO,29/06/2016,8574,174
Customer Support Group,Equipment Hire,PINKCASINO,11/07/2016,8681,100
Customer Support Group,Training,WWW.CIPS.ORG,23/03/2016,7570,97.92
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,12/04/2016,7746,735
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,19/04/2016,7824,2538
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,29/04/2016,7945,159
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,26/05/2016,8190,11088
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,27/05/2016,8203,837
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,15/08/2016,9103,980
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,17/06/2016,8425,980
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,23/06/2016,8504,11487
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,20/07/2016,8826,5097
Customer Support Group,Legal and Court Fees,HMCOURTS-SERVICE.G,19/08/2016,9161,6069
Commissioning,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,01/04/2016,7654,3.28
Commissioning,Equipment and Materials Purcha,WWW.GEAR4MUSIC.COM,01/04/2016,7655,137.99
Commissioning,Equipment and Materials Purcha,AMAZON EU,01/04/2016,7657,69
Commissioning,Equipment and Materials Purcha,AMAZON EU,25/05/2016,8174,7.99
Regional Enterprise,Subscriptions,COMPANIES HOUSE,11/08/2016,9079,12
Children's Family Services,Other Services,ROPE RUNNERS LTD,01/04/2016,7666,266
Regional Enterprise,Consultants Fees,WWW.COMPANYWATCH.NET,14/03/2016,7443,60
Commissioning,Training,PAYPAL  ACTIONELDER,25/05/2016,8178,141
Commissioning,Subscriptions,CIHT CHARTERD INST H&T,19/07/2016,8796,52
Commissioning,Subscriptions,CIHT CHARTERD INST H&T,19/07/2016,8797,35
Commissioning,Subscriptions,CIHT CHARTERD INST H&T,19/07/2016,8798,24
Commissioning,Conference Expenses,RAMADA ENCORE BOURNEMO,01/10/2015,5509,231
Commissioning,Travelling Expenses,VIRGINTRAINS.CO.UK,12/04/2016,7740,164.2
Children's Service DSG,Travelling Expenses,METRO RADIO CARS,11/04/2016,7722,360
Children's Family Services,Books-CDs-Audio-Video,TRIPLE P INTERNATIONAL,04/03/2016,7327,850.6
Children's Family Services,Travelling Expenses,AMAZON EU,12/08/2016,9089,499.98
Children's Family Services,Food Costs,TESCO STORES 6440,22/03/2016,7551,155.87
Children's Family Services,Food Costs,TESCO STORES 6440,30/03/2016,7622,135.03
Children's Family Services,Food Costs,TESCO STORES 6440,10/05/2016,8022,197.48
Children's Family Services,Food Costs,TESCO DELIVERY SAVER2,05/04/2016,7696,6
Children's Family Services,Food Costs,TESCO DELIVERY SAVER2,07/03/2016,7353,6
Children's Family Services,Food Costs,TESCO STORES 6440,08/03/2016,7373,186.25
Children's Family Services,Food Costs,TESCO STORES 6440,19/04/2016,7806,207.75
Children's Family Services,Food Costs,TESCO STORES 6440,15/03/2016,7461,177.17
Children's Family Services,Building Repairs & Maintenance,ALLSOP & FRANCIS,07/06/2016,8296,302.86
Children's Family Services,Food Costs,TESCO DELIVERY SAVER2,06/06/2016,8274,6
Children's Family Services,Food Costs,TESCO STORES 6440,07/06/2016,8297,185.49
Children's Family Services,Food Costs,TESCO STORES 6440,21/06/2016,8467,172.12
Children's Family Services,Food Costs,TESCO STORE 3539,21/06/2016,8468,-7.24
Children's Family Services,Food Costs,TESCO STORES 6440,22/06/2016,8479,7.24
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,28/06/2016,8548,22.82
Children's Family Services,Equipment and Materials Purcha,TOUCH-NEEDS LTD,01/08/2016,8968,402
Children's Family Services,Food Costs,TESCO DELIVERY SAVER2,05/08/2016,9017,6
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",22/08/2016,9184,13.6
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/08/2016,9185,36.22
Children's Family Services,Subscriptions,TWINKL LTD,22/08/2016,9186,69.99
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/08/2016,9214,29.86
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,22/08/2016,9215,179.05
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/08/2016,9216,45.78
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/08/2016,9217,45.2
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,23/08/2016,9218,2.05
Children's Family Services,Food Costs,TESCO STORES 6440,19/07/2016,8791,114.76
Children's Family Services,Equipment and Materials Purcha,TOUCH-NEEDS LTD,01/08/2016,8967,402
Children's Family Services,Food Costs,ASDA SUPERSTORE,05/05/2016,7981,2.29
Children's Family Services,Food Costs,ASDA SUPERSTORE,10/05/2016,8014,21.13
Children's Family Services,Equipment and Materials Purcha,WWW.CARPHONEWAREHO,11/05/2016,8025,21.65
Children's Family Services,Equipment and Materials Purcha,SAINSBURYS TO YOU 0637,11/05/2016,8026,86.17
Children's Family Services,Postage,POST OFFICE COUNTER,06/04/2016,7700,1.45
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,17/05/2016,8079,12.09
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,18/05/2016,8098,22.98
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,12/04/2016,7734,35.13
Children's Family Services,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,18/05/2016,8099,4.16
Children's Family Services,Stationery,AMAZON UK MARKETPLACE,18/05/2016,8100,6.65
Children's Family Services,Telephones Calls,VODAFONE LTD,18/05/2016,8101,8.07
Children's Family Services,Telephone Rentals,BT PAY BY PHONE,19/05/2016,8112,83.34
Children's Family Services,Food Costs,ASDA SUPERSTORE,13/04/2016,7748,20.16
Children's Family Services,Travelling Expenses,OYSTER BUS AUTOTOP,23/05/2016,8133,16.67
Children's Family Services,Telephones Calls,VODAFONE LTD,04/03/2016,7328,7.75
Children's Family Services,Telephone Rentals,VODAFONE,04/03/2016,7330,216.65
Children's Family Services,Stationery,"AMAZON SVCS EUROPE,SAR",24/05/2016,8155,28.17
Children's Family Services,Cleaning and domestic material,AMAZON EU,25/05/2016,8168,30.56
Children's Family Services,Food Costs,SAINSBURYS TO YOU 0637,08/03/2016,7366,-2.5
Children's Family Services,Food Costs,ASDA SUPERSTORE,08/03/2016,7367,6.72
Children's Family Services,Building Repairs & Maintenance,AMAZON UK MARKETPLACE,25/05/2016,8169,19.84
